Segmentos PK_Calzada No.,Zonas,CIV,PK_ID,Estrategia,Programa,LOC. No.,Nombre Localidad,UPZ,Barrio,Eje Vial,Tramo Inicial,Tramo Final,Longitud Segmento (ML),"Ancho 
Segmento (ML)","Área
Segmento (m2)",Memorando Priorizaciòn,Km Carril Impacto   Km C,Km Lineal,Km Obra,Tipo Malla Vial,Tipo de Actividad,Tipo de Intervención,Fecha Inicio,Fecha Final,Estado Ejecucion,Mes Reporte,Fusion CIV,Fusion PK_ID,Grupo Contraloria,Ingeniero de Apoyo,Director de Obra / Residente
934,Zona 02,"13,000,255","24,136,614",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AK 30,CL 60,CL 62,"2,606",231,"601,986","2,01912E+13",2,3,0,MVA,Parcheo,Mantenimiento,Thu Jun 13 00:00:00 COT 2019,Thu Jun 13 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
935,Zona 02,"2,001,248","141,938",Infraestructura y Gestión de Tránsito,IMV-PR-003,2,Chapinero,EL REFUGIO,EMAUS,KR 6,CL 69A,CL 70,"4,823",641,"3,091,543",Grupo Sigma,1,0,0,MVL,Parcheo,Mantenimiento,Thu Jun 13 00:00:00 COT 2019,Thu Jun 13 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
936,Zona 02,"10,002,337","162,836",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,GARCES NAVAS,EL CEDRO,CL 78A,KR 103,KR 103A,"3,735",562,"209,907","2,01912E+13",7,0,0,CML,Parcheo,Mantenimiento,Thu Jun 13 00:00:00 COT 2019,Thu Jun 13 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
937,Zona 02,"10,002,378","162,835",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,GARCES NAVAS,EL CEDRO,CL 78A,KR 102A,KR 103,"3,365",525,"1,766,625","2,01912E+13",6,0,0,CML,Parcheo,Mantenimiento,Thu Jun 13 00:00:00 COT 2019,Thu Jun 13 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
938,Zona 03,"16,001,955","189,244",Infraestructura y Gestión de Tránsito,Misionalidad,16,Puente Aranda,ZONA INDUSTRIAL,PENSILVANIA,CL 10,KR 31A,KR 32,"6,133",914,"5,605,562","2,01912E+13",19,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed May 22 00:00:00 COT 2019,Thu Jun 13 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
939,Zona 02,"13,000,310","24,136,613",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AK 30,CL 59,CL 60,"6,696",232,"1,553,472","2,01912E+13",4,7,0,MVA,Parcheo,Mantenimiento,Thu Jun 13 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
940,Zona 02,"10,006,126","161,660",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,MINUTO DE DIOS,EL MINUTO DE DIOS,KR 73A,CL 81,CL 81BIS,"2,822",723,"2,040,306","2,01912E+13",7,0,0,CML,Parcheo,Mantenimiento,Fri Jun 14 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
941,Zona 02,"10,001,435","163,404",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,GARCES NAVAS,GARCES NAVAS SUR,KR 111,CL 75A,CL 75B,"3,583",713,"2,554,679","2,01912E+13",9,0,0,MVL,Parcheo,Mantenimiento,Fri Jun 14 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
942,Zona 02,"10,001,481","163,403",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,GARCES NAVAS,GARCES NAVAS SUR,KR 111,CL 75,CL 75A,"3,846",727,"2,796,042","2,01912E+13",9,0,0,MVL,Parcheo,Mantenimiento,Fri Jun 14 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
943,Zona 01,"1,004,873","139,271",Infraestructura y Gestión de Tránsito,IMV-PR-003,1,Usaquen,SANTA BARBARA,SANTA BARBARA CENTRAL,CL 119,KR 14A,KR 14B,"8,563",982,"8,408,866",Grupo Sigma,28,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Fri Jun 07 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
944,Zona 01,"1,005,445","136,967",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,SANTA BARBARA,MOLINOS NORTE,KR 14B,CL 106,CL 108,"1,812",654,"1,185,048","2,01912E+13",4,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Thu May 23 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
945,Zona 01,"1,005,545","138,906",Infraestructura y Gestión de Tránsito,IMV-PR-003,1,Usaquen,SANTA BARBARA,SANTA BIBIANA,CL 104,AK 15,KR 17,"22,686",997,"22,617,942",Grupo Sigma,75,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Wed Jun 05 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
946,Zona 02,"2,000,367","143,397",Infraestructura y Gestión de Tránsito,Conservacion,2,Chapinero,CHICO LAGO,CHICO NORTE,CL 93A,AK 11,KR 11A,"8,487",95,"806,265","2,01501E+13",27,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Thu May 02 00:00:00 COT 2019,Fri Jun 14 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
947,Zona 05,"8,004,349","151,367",Infraestructura y Gestión de Tránsito,Misionalidad,8,Kennedy,BAVARIA,MARSELLA,KR69C,CL7,CL7A,"5,215",743,"3,874,745","2,01812E+13",13,0,0,MVL,Cambio de Carpeta Parcial,Mantenimiento,Fri Jun 07 00:00:00 COT 2019,Mon Jun 17 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Daniel Gamboa,"Ing,Carlos Castaño/Ing.Elena Alvarado"
948,Zona 02,"11,011,659","507,586",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,12,Barrios Unidos,LOS ANDES,LA CASTELLANA,AC 100,KR 47,KR 47A,"8,065",853,"6,879,445","2,01912E+13",2,0,19,MVA,Parcheo,Mantenimiento,Mon Jun 17 00:00:00 COT 2019,Mon Jun 17 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
949,Zona 02,"12,001,155","903,696",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,12,Barrios Unidos,LOS ALCAZARES,SANTA SOFIA,CL 79,KR 29C,AK 30,"9,463",205,"1,939,915","2,01912E+13",6,9,0,MVA,Parcheo,Mantenimiento,Wed Jun 12 00:00:00 COT 2019,Mon Jun 17 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
950,Zona 02,"13,000,367","24,136,612",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AK 30,CL 62,CL 57A,"6,715",222,"149,073","2,01912E+13",4,7,0,MVA,Parcheo,Mantenimiento,Fri Jun 14 00:00:00 COT 2019,Mon Jun 17 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
951,Zona 01,"11,007,358","168,934",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,EL PRADO,PRADO PINZON,CL 146,KR 48,KR 49,55,75,"4,125","2,01912E+13",14,0,0,MVL,Cambio de Carpeta,Mantenimiento,Fri May 31 00:00:00 COT 2019,Mon Jun 17 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Ibon Godoy,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
952,Zona 02,"13,000,461","24,136,611",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AK 30,CL 58,CL 58A,"1,224",236,"288,864","2,01912E+13",8,12,0,MVA,Parcheo,Mantenimiento,Tue Jun 18 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
953,Zona 02,"12,003,284","24,130,124",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,12,Barrios Unidos,LOS ALCAZARES,ONCE DE NOVIEMBRE,AK 30,CL 73,S.E.,"3,294",219,"721,386","2,01912E+13",2,3,0,MVA,Parcheo,Mantenimiento,Tue Jun 18 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
954,Zona 01,"11,007,440","168,857",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,EL PRADO,PRADO PINZON,KR 49,CL 145B,CL 146,56,62,"3,472","2,01912E+13",12,0,0,MVL,Cambio de Carpeta,Mantenimiento,Mon Jun 10 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Ibon Godoy,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
955,Zona 04,"18,000,536","411,664",Infraestructura y Gestión de Tránsito,IMV-PR-003,18,Rafael Uribe Uribe,QUIROGA,CLARET,DG 43AS,TV 27BIS,KR 28,"5,936",957,"5,680,752","2,01812E+13",19,0,0,IN,Parcheo,Mantenimiento,Tue Jun 18 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
956,Zona 02,"2,000,541","507,416",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,2,Chapinero,EL REFUGIO,EL CHICO,AC 92,AK 7,KR 7A,"5,124",645,"330,498",Grupo Sigma,9,0,49,MVA,Parcheo,Mantenimiento,Mon Jun 17 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
957,Zona 02,"10,010,407","91,018,972",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,SANTA CECILIA,NORMANDIA OCCIDENTAL,KR 72B,CL 48,AK 72,"2,819",481,"1,355,939","2,01912E+13",5,0,0,MVL,Parcheo,Mantenimiento,Tue Jun 18 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing.Jesus Forero
958,Zona 03,"15,001,320","184,340",Infraestructura y Gestión de Tránsito,Misionalidad,15,Antonio Nariño,CIUDAD JARDIN,CIUDAD JARDIN SUR,KR12G,CL19S,CL20S,"10,673",711,"7,588,503","2,01812E+13",25,0,0,MVL,Cambio de Carpeta,Mantenimiento,Fri Jun 07 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Karen Zarate,"Ing,Gustavo Velandia/Ing. Carlos Mendez"
959,Zona 02,"10,011,259","34,011,562",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,10,Engativa,MINUTO DE DIOS,MINUTO DE DIOS,CANAL SALITRE,DG 82A,DG 82D,"12,626",319,"4,027,694","2,01912E+13",13,13,0,MVL,Rehabilitacion,Rehabilitación,Wed May 08 00:00:00 COT 2019,Tue Jun 18 00:00:00 COT 2019,Terminado,Junio,0,0,Rehabilitación Flexible,Jesica  Ardila,Ing. Orlando Rivera
960,Zona 02,"10,011,258","34,011,563",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,10,Engativa,MINUTO DE DIOS,EL MINUTO DE DIOS,CANAL SALITRE,DG 82H,DG 82D,"8,904",338,"3,009,552","2,01912E+13",1,9,0,MVL,Rehabilitacion,Rehabilitación,Mon May 20 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Rehabilitación Flexible,Jesica  Ardila,Ing. Orlando Rivera
961,Zona 01,"1,004,318","139,559",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,USAQUEN,BELLA SUIZA,CL 128,KR 7BBIS,KR 7C,368,915,"33,672","2,01912E+13",11,0,0,CML,Cambio de Carpeta,Mantenimiento,Thu May 30 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Javier Robles
962,Zona 01,"1,005,458","136,939",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,SANTA BARBARA,MOLINOS NORTE,KR 14,CL 106A,CL 108,"1,532",667,"1,021,844","2,01912E+13",34,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Jun 05 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Javier Robles
963,Zona 02,"10,001,248","163,408",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,GARCES NAVAS,GARCES NAVAS SUR,KR 111,CL 76,CL 76D,"6,137",693,"4,252,941","2,01912E+13",14,0,0,MVL,Parcheo,Mantenimiento,Wed Jun 19 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
964,Zona 05,"8,003,310","151,992",Infraestructura y Gestión de Tránsito,Misionalidad,8,Kennedy,CASTILLA,PIO XII,CL 6D,KR 79A,KR 80A,"21,238",545,"1,157,471","2,01912E+13",39,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed May 08 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/Ing. Alexander Sandoval
965,Zona 02,"13,002,509","600,336",Infraestructura y Gestión de Tránsito,IMV-PR-003,13,Teusaquillo,LA ESMERALDA,LA ESMERALDA,CL 44,KR 54,KR 57,"16,039",776,"12,446,264","2,01912E+13",41,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Thu May 23 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
966,Zona 02,"10,008,636","158,099",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,LAS FERIAS,LA ESTRADA,CL 69B,KR 69A,KR 69C,"6,418",629,"4,036,922",Grupo Sigma,13,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Tue Jun 11 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing.Jesus Forero
967,Zona 02,"10,008,675","158,098",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,LAS FERIAS,LA ESTRADA,CL 69BIS,KR 69A,KR 69C,"6,796",612,"4,159,152","2,01912E+13",14,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Tue Jun 11 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing.Jesus Forero
968,Zona 03,"16,004,345","186,096",Infraestructura y Gestión de Tránsito,Misionalidad,16,Puente Aranda,MUZU,AUTOPISTA MUZU ORIENTAL,CL30S,TV35,TV35BIS,"5,982",646,"3,864,372","2,01812E+13",13,0,0,MVL,Cambio de Carpeta,Mantenimiento,Tue Jun 04 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Karen Zarate,"Ing,Gustavo Velandia/Ing. Carlos Mendez"
969,Zona 02,"10,007,611","159,248",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOYACA REAL,SANTA HELENITA,KR 77C,CL 68,CL 68A,"4,776",55,"26,268","2,01812E+13",9,0,0,MVL,Cambio de Carpeta,Mantenimiento,Fri May 31 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Camilo Rojas,Ing. Manuel Avila/Ing.Samuel Sanchez
970,Zona 02,"10,008,046","158,231",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,LAS FERIAS,LAS FERIAS OCCIDENTAL,CL 73BIS,KR 69J,KR 69K,"2,391",684,"1,635,444","2,01812E+13",5,0,0,MVL,Cambio de Carpeta,Mantenimiento,Sat Jun 08 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Camilo Rojas,Ing. Manuel Avila/Ing.Samuel Sanchez
971,Zona 02,"10,008,102","158,230",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,LAS FERIAS,LAS FERIAS OCCIDENTAL,CL 73BIS,KR 69H,KR 69J,"5,613",643,"3,609,159","2,01812E+13",12,0,0,MVL,Cambio de Carpeta,Mantenimiento,Fri Jun 07 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Camilo Rojas,Ing. Manuel Avila/Ing.Samuel Sanchez
972,Zona 02,"13,002,941","903,134",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,BELALCAZAR,AK 30,AC 53,CL 53A,78,18,"1,404","2,01912E+13",4,8,0,MVA,Parcheo,Mantenimiento,Wed Jun 12 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
973,Zona 02,"13,000,761","35,000,190",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AK 30,CL 55,CL 53ABIS,"1,264",231,"291,984","2,01912E+13",1,1,0,MVA,Parcheo,Mantenimiento,Wed Jun 19 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
974,Zona 02,"13,000,519","902,991",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AK 30,CL 57A,CL 58,"5,305",231,"1,225,455","2,01912E+13",4,5,0,MVA,Parcheo,Mantenimiento,Tue Jun 18 00:00:00 COT 2019,Wed Jun 19 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
975,Zona 01,"1,006,275","510,374",Situaciones Imprevistas y Apoyo Interinstitucional,Acuerdo 257/D,1,Usaquen,PASEO DE LOS LIBERTADORES,CANAIMA,AK 45,CL 192,CL 194,833,"1,378","1,147,874","2,01812E+13",33,0,57,MVA,Parcheo,Mantenimiento,Thu Jun 20 00:00:00 COT 2019,Thu Jun 20 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
976,Zona 05,"7,007,570","369,261",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,BOSA CENTRAL,LA ESTACION BOSA,CL 65J S,KR 77K,KR 77L,"4,562",765,"348,993","2,01912E+13",12,0,0,MVL,Sello de Fisuras,Mantenimiento,Thu Jun 20 00:00:00 COT 2019,Thu Jun 20 00:00:00 COT 2019,Terminado,Junio,0,0,Sello de Fisuras,Ximena Vargas,Ing. Mary Luz Mora/ Ing.Jesus Forero
977,Zona 05,"7,007,627","369,418",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,BOSA CENTRAL,LA ESTACION BOSA,CL 65J S,KR 77JBIS,KR 77K,"4,712",773,"3,642,376","2,01912E+13",12,0,0,MVL,Sello de Fisuras,Mantenimiento,Thu Jun 20 00:00:00 COT 2019,Thu Jun 20 00:00:00 COT 2019,Terminado,Junio,0,0,Sello de Fisuras,Ximena Vargas,Ing. Mary Luz Mora/ Ing.Jesus Forero
978,Zona 05,"7,007,700","369,637",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,BOSA CENTRAL,LA ESTACION BOSA,CL 65J S,KR 77J,KR 77JBIS,"3,562",897,"3,195,114","2,01912E+13",11,0,0,MVL,Sello de Fisuras,Mantenimiento,Thu Jun 20 00:00:00 COT 2019,Thu Jun 20 00:00:00 COT 2019,Terminado,Junio,0,0,Sello de Fisuras,Ximena Vargas,Ing. Mary Luz Mora/ Ing.Jesus Forero
979,Zona 02,"13,002,618","34,010,704",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,AC 63,AK 30,KR 35,"1,417",194,"274,898","2,01912E+13",1,1,0,MVA,Parcheo,Mantenimiento,Thu Jun 20 00:00:00 COT 2019,Thu Jun 20 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
980,Zona 04,"18,000,202","410,641",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,18,Rafael Uribe Uribe,VENECIA,CLARET,KR 33,CL 43S,KR 50,"16,329",833,"13,602,057","2,01812E+13",39,0,5,MVA,Parcheo,Mantenimiento,Wed Jun 19 00:00:00 COT 2019,Fri Jun 21 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
981,Zona 04,"19,004,982","450,338",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,ARBORIZADORA,EL CHIRCAL SUR,KR 22 G,CL 59BS,CL 60S,"1,503",934,"1,403,802",Grupo Sigma,5,0,0,CML,Parcheo,Mantenimiento,Wed Jun 19 00:00:00 COT 2019,Fri Jun 21 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
982,Zona 02,"12,003,262","902,939",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,12,Barrios Unidos,LOS ALCAZARES,BENJAMIN HERRERA,AK 30,AC 63,CL 63A,"4,749",223,"1,059,027","2,01812E+13","30,257,914",5,0,MVA,Parcheo,Mantenimiento,Fri Jun 21 00:00:00 COT 2019,Fri Jun 21 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
983,Zona 02,"13,002,595","903,004",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,13,Teusaquillo,GALERIAS,CAMPIN,CL 62,AK 30,KR 35,"4,213",207,"872,091","2,01912E+13",2,4,0,MVA,Parcheo,Mantenimiento,Thu Jun 20 00:00:00 COT 2019,Fri Jun 21 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera
984,Zona 05,"8,005,846","145,892",Infraestructura y Gestión de Tránsito,Misionalidad,8,Kennedy,KENNEDY CENTRAL,TECHO,KR 78,CL 26 S,NE,262,761,"199,382","2,01912E+13",66,0,0,MVL,Cambio de Carpeta,Mantenimiento,Sat May 25 00:00:00 COT 2019,Sat Jun 22 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Daniel Gamboa,"Ing,Carlos Castaño/Ing.Elena Alvarado"
985,Zona 01,"1,005,484","136,938",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,SANTA BARBARA,MOLINOS NORTE,KR 14,CL 106A,CL 106,"2,748",68,"186,864",Grupo Sigma,6,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Jun 05 00:00:00 COT 2019,Sat Jun 22 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Javier Robles
986,Zona 04,"18,002,192","416,010",Infraestructura y Gestión de Tránsito,IMV-PR-003,18,Rafael Uribe Uribe,SAN JOSE,SOSIEGO SUR,CL 27 S,KR 10A,KR 10B,"4,444","1,309","5,817,196","2,01812E+13",19,0,0,CML,Parcheo,Mantenimiento,Tue Jun 25 00:00:00 COT 2019,Tue Jun 25 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Ximena Vargas,Ing. Mary Luz Mora/ Ing. Angel Ricardo Ibagon
987,Zona 04,"19,000,765","487,227",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,ARBORIZADORA,MADELENA,KR 69B,CL 62A S,CL 62 S,"3,411",493,"1,681,623","2,01712E+13",6,0,0,MVL,Parcheo,Mantenimiento,Tue Jun 25 00:00:00 COT 2019,Tue Jun 25 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
988,Zona 04,"19,013,044","505,777",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,ARBORIZADORA,EL CHIRCAL SUR,TV 22G BIS,CL 59S,KR 22G,299,"1,003","299,897","2,01912E+13",1,0,0,CML,Parcheo,Mantenimiento,Tue Jun 25 00:00:00 COT 2019,Tue Jun 25 00:00:00 COT 2019,Terminado,Junio,0,0,Parcheo,Cesar Pinto,Ing. Mary Luz Mora/Ing. Alexander Sandoval
989,Zona 02,"10,003,600","162,220",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,MINUTO DE DIOS,PARIS GAITAN,DG87BIS,CL89,TV77,"2,855",621,"1,772,955","2,01912E+13",6,0,0,MVL,Cambio de Carpeta,Mantenimiento,Mon Jun 10 00:00:00 COT 2019,Tue Jun 25 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Luis Marin/Ing.Andrea Torres
990,Zona 02,"10,003,601","162,221",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,MINUTO DE DIOS,PARIS GAITAN,DG 87BIS,TV 79A,TV 77,"1,106",58,"64,148","2,01812E+13",21,0,0,MVL,Cambio de Carpeta,Mantenimiento,Mon Jun 10 00:00:00 COT 2019,Tue Jun 25 00:00:00 COT 2019,Terminado,Junio,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Luis Marin/Ing.Andrea Torres
